index,Количество,rank,Частота,rank,Абсолютная стоимость,rank,Относительная стоимость,rank,total_score
Python,1442,834,0.19751361888497657,834,134830.22765089723,834,29964.395034325826,834,3336
Git,586,833,0.06013507510721133,833,63351.774796084836,833,10426.02602553725,833,3332
SQL,501,832,0.05486769838871004,832,41507.884910277324,829,6715.5764029003785,830,3323
PostgreSQL,499,831,0.05381675511164674,831,57062.73934747145,832,10087.358590935344,832,3326
Django Framework,467,830,0.05372987306810837,830,53509.48616639479,831,10040.790468833322,831,3322
Linux,463,829,0.050508884605246836,829,42719.45742251224,830,6515.066047444835,829,3317
Flask,177,828,0.01719445883493871,828,15326.26427406199,824,2346.021769650172,823,3303
Docker,172,827,0.01567137192872487,827,18824.830342577487,826,2377.8731764338618,824,3304
JavaScript,149,826,0.015381585190408721,826,13920.826003262642,823,2383.364868293449,825,3300
Английский язык,141,825,0.015220397489861159,825,11759.399102773246,820,1900.5554845450824,819,3289
MySQL,128,824,0.012299003255659602,824,19395.000195758566,827,2927.833854305291,827,3302
ООП,120,823,0.011863268783160425,823,11787.356362153345,821,1948.812871830906,821,3288
MongoDB,113,822,0.01112921253102914,822,15611.027683523653,825,2397.429902063678,826,3295
Redis,107,821,0.009835905924141219,821,19805.839673735725,828,3077.6233528262565,828,3298
REST,70,820,0.006555077791145902,820,12082.12634584013,822,1928.749718790935,820,3282
RabbitMQ,68,819,0.005097365053247406,815,10062.415986949429,819,1168.4147431325246,817,3270
Django,62,818,0.005244476384182266,817,9573.019575856444,818,1283.7062774697358,818,3271
HTML,56,817,0.005078782328782329,814,4721.859706362154,812,709.0958887043715,813,3256
CSS,56,816,0.005142240112828349,816,4477.1615008156605,810,655.1027547764904,811,3253
Atlassian Jira,52,815,0.005361243847311958,818,4343.393148450245,808,934.4394050756205,815,3256
C++,50,814,0.005934916390798744,819,3181.0766721044047,804,570.3733913358709,808,3245
API,49,813,0.003972999222999223,810,4389.3139477977165,809,509.8653547838784,806,3238
MS SQL,43,812,0.0037513140167938935,809,1782.2185970636215,772,215.75186338644738,774,3167
Java,43,811,0.004782999920110647,813,1113.3768352365416,734,186.87280636709676,765,3123
Базы данных,41,810,0.0036316951022833375,808,6907.69396411093,817,950.5435096714053,816,3251
Работа в команде,39,809,0.0028549106122635537,805,3854.006769983687,807,458.70799051750316,801,3222
AWS,36,808,0.0039922822275763456,811,1924.3353996737358,782,280.9967633236801,782,3183
Celery,35,807,0.0025400539003480184,801,5497.553017944535,815,650.8483812725249,810,3233
Pytest,35,806,0.004045518207282914,812,1786.2969004893964,773,337.56700069913774,789,3180
aiohttp,33,805,0.003631185807656396,807,4714.618270799348,811,667.0522618400269,812,3235
Kubernetes,31,804,0.0026739094239094244,803,2935.7546492659053,797,375.5646025897249,795,3199
Nginx,30,803,0.0025030976648623706,799,3128.058727569331,802,433.54415356862336,799,3203
Kafka,29,802,0.0023934001408049852,796,2549.0296900489398,788,308.0489763634951,784,3170
NoSQL,29,801,0.0024491891230645556,797,4722.675367047308,813,609.4044617698778,809,3220
FastAPI,28,800,0.0026433093050740107,802,2642.7406199021207,792,313.41358931081606,787,3181
asyncio,26,799,0.0022971734148204736,794,5447.251876019575,814,785.2502242184133,814,3221
Bash,26,798,0.002516127663186487,800,2569.331158238173,789,356.25275123643803,793,3180
Golang,25,797,0.0027309969442322383,804,1239.8042414355627,746,196.80727103239337,769,3116
Pandas,25,796,0.002238744915215503,792,277.3246329526917,530,35.38712510980047,570,2688
PHP,24,795,0.0022528430175488994,793,3319.7389885807506,805,504.8325488782259,805,3198
Jenkins,24,794,0.001965947451241569,786,1190.8646003262643,741,98.71348064659648,724,3045
React,23,793,0.0032842419018889605,806,6081.447699836868,816,1963.6989985399775,822,3237
HTML5,21,792,0.0016017653370594546,776,2384.732871125612,787,276.9133567553225,781,3136
REST API,21,791,0.002180608607079195,791,1867.862969004894,777,256.1974911077684,778,3137
Selenium,21,790,0.0024570347952700892,798,815.6606851549756,717,70.81508304999333,669,2974
СУБД,20,789,0.0015442515001338531,773,2141.109298531811,785,195.45978762944503,768,3115
Математическая статистика,20,788,0.00129796918767507,764,65.25285481239804,365,9.321836401771147,377,2294
Machine Learning,20,787,0.0015034249199474112,770,2728.4850734094616,794,295.89598990256616,783,3134
SQLAlchemy,19,786,0.001636511063755646,777,2708.250766721044,793,352.2774403307691,792,3148
Удаленная работа,19,785,0.001677156177156177,780,3152.5285481239803,803,481.85365477371994,804,3172
CI/CD,19,784,0.001214885303894592,757,2760.297553017944,795,340.65340017966446,790,3126
QA,19,783,0.0023401239283592223,795,554.6492659053833,679,61.54530624351179,650,2907
Scrum,19,782,0.001976759351759352,787,1884.1761827079936,781,389.3420337139749,796,3146
Big Data,18,781,0.0015562808010904897,774,1717.0557911908645,768,124.98528670254993,741,3064
Работа с базами данных,18,780,0.0020835308482367305,790,977.8407830342578,729,261.1287238047434,780,3079
Анализ данных,18,779,0.0019404761904761904,784,619.9021207177814,698,123.98042414355628,740,3001
ETL,17,778,0.0015405726884055054,772,619.9021207177814,699,81.82500841554675,694,2943
IT,17,777,0.0017058823529411764,781,0.0,320,0.0,278,2156
TCP/IP,17,776,0.0017294584500466852,782,1794.453507340946,774,313.10041689323907,786,3118
Go,17,775,0.001999183006535948,788,872.7569331158238,723,166.39477977161502,756,3042
Unix,17,774,0.001640172735760971,778,1011.4192495921696,733,109.48302648955178,734,3019
ML,17,773,0.0014760949834479247,769,1872.0413539967376,778,178.94279627726814,760,3080
Обучение и развитие,16,772,0.0015355221833550008,771,509.7879282218597,669,39.78980150955767,590,2802
Тестирование,16,771,0.0020655569920275804,789,554.6492659053833,678,93.80097879282219,714,2952
HTTP,16,770,0.0013282817114086464,765,2978.2209624796083,799,479.6619131762125,803,3137
jQuery,16,769,0.001216208627973334,758,1794.453507340946,775,244.14447252946437,777,3079
Atlassian Confluence,16,768,0.0015915032679738564,775,407.8303425774878,603,67.97172376291462,659,2805
C/C++,16,767,0.0017582689641513173,783,1448.1321370309952,754,234.7243368980726,776,3080
Unit Testing,15,766,0.0012352941176470586,760,1476.3458401305056,761,182.5267355446801,761,3048
Android,15,765,0.0014028944911297855,767,2355.628058727569,786,308.65377145964425,785,3103
Agile Project Management,15,764,0.001671377641965877,779,1150.0815660685155,736,189.57313757476888,767,3046
XML,14,763,0.001270045314162961,762,1415.1712887438825,752,172.944850147134,757,3034
Node.js,13,762,0.0010942684766214177,752,2972.1311582381727,798,332.2983553332656,788,3100
iOS,13,761,0.0012208216619981325,759,2584.0130505709626,790,366.2937932105958,794,3104
