,product_10,product_11,product_12,product_13,product_14,product_15,product_16,product_17,product_18,product_19,product_20,product_21,product_22,product_23,product_24,product_25,product_26,product_27,product_28,product_29,product_30,product_31,product_32,product_33,product_34,product_35,product_36,product_37,product_38,product_39
2016-01-21,2500.2,3860.4,3912.7,2070.6,889.33,1620.3,3388.5,417.13,3359.3,572.6,1757.8,411.45,1982.2,1760.1,485.4,399.99,3074.8,1809.9,1982.0,418.04,2732.4,1857.6,2386.9,3658.0,1059.3,500.78,2264.1,2107.1,2038.6,2241.7
2016-01-22,2406.4,3867.3,3930.6,2007.4,873.12,1579.3,2936.9,565.38,2747.9,564.77,1659.4,349.27,2031.5,1757.7,462.35,413.15,2999.5,1655.2,1765.2,402.44,2734.7,1709.3,2597.0,3840.7,1023.8,492.93,2361.4,2162.4,1984.3,2437.4
2016-01-23,2377.5,3778.8,3674.7,2055.6,899.43,1570.4,2881.3,434.26,2948.0,568.73,1782.9,425.45,1743.2,1879.1,466.43,393.24,3002.2,1701.5,1681.8,418.83,2558.3,1751.6,2668.9,3883.2,998.54,503.47,2659.8,2083.6,2043.1,2305.4
2016-01-24,2513.3,3683.2,3756.9,1956.3,888.38,1501.3,2517.6,441.95,3106.4,571.38,1717.3,355.02,1774.8,1953.3,434.08,367.89,3060.8,1602.4,1727.8,419.66,2392.1,1811.6,2679.8,3862.9,1047.7,513.75,2173.1,2105.4,1972.4,2394.6
2016-01-25,2361.3,3626.0,3830.2,1982.0,875.41,1578.1,2626.6,804.44,3076.6,578.42,1803.1,382.3,1983.9,1926.9,457.51,340.2,3034.4,1669.1,1736.9,419.82,2477.9,1730.0,2473.2,3821.6,1053.3,495.84,2334.4,2161.0,1876.1,2206.7
2016-01-26,2412.4,3749.1,3737.1,2026.9,922.21,1526.0,3142.5,887.73,3198.6,581.92,1845.7,395.6,1928.4,2119.0,490.19,379.75,3173.0,1675.9,1576.7,433.82,2507.4,1770.0,2580.0,4153.7,1028.1,525.31,2094.4,2082.0,2102.1,2370.3
2016-01-27,2361.3,3618.0,3951.1,2166.5,902.05,1507.5,2508.7,828.94,3251.4,548.71,1942.7,346.21,1777.1,2190.6,431.56,351.73,3145.1,1608.4,1849.4,434.48,2474.9,1731.8,2516.9,3930.7,1049.4,531.13,2215.1,1993.3,2078.1,2434.2
2016-01-28,2480.9,3709.5,3813.0,1811.0,850.65,1459.4,2488.8,929.77,3133.5,545.6,1925.0,374.22,1836.1,2110.2,426.03,399.93,3101.4,1471.7,1794.9,439.29,2267.2,1779.3,2322.1,3692.5,978.58,532.86,2558.3,1951.8,2331.3,2306.6
2016-01-29,2600.1,3882.4,3616.0,1659.5,888.42,1493.5,2567.2,934.4,3062.8,530.46,2011.3,438.29,1879.9,2193.6,404.55,365.23,3052.6,1442.3,1883.0,418.62,2246.7,1694.1,2595.1,3949.0,1069.0,496.74,2280.7,2188.4,1914.6,2355.6
2016-01-30,2659.4,3735.5,3733.0,1856.3,929.19,1571.3,2576.4,866.51,2897.5,542.83,2173.4,304.15,1956.7,2152.8,435.93,388.65,2875.2,1707.6,1673.6,380.91,2184.3,2004.3,2496.0,4099.5,998.65,504.35,2227.9,2059.7,2073.3,2612.0
2016-01-31,2470.2,3828.3,3833.2,1767.8,917.25,1579.5,2283.2,919.97,2791.7,541.32,1889.4,379.55,1884.4,2198.0,421.55,392.55,3055.4,1664.9,1719.5,383.62,2261.5,1754.9,2326.8,4226.5,1034.7,486.22,2346.5,1963.8,2073.4,2474.4
2016-02-01,2546.4,3826.3,3709.1,1672.7,939.52,1577.1,2474.1,766.69,2641.4,523.11,1923.7,319.87,1994.7,2157.2,443.19,398.55,2893.4,1587.6,1994.9,373.9,2523.2,1912.0,2064.0,4058.9,1075.8,495.33,2481.2,2086.0,2274.5,2606.1
2016-02-02,2633.0,3713.0,3770.3,1698.0,913.74,1515.6,2375.0,943.02,2573.9,508.04,1831.2,716.19,2191.7,2198.6,438.51,372.99,2989.5,1565.9,1853.4,389.08,2394.9,1805.4,2139.1,3947.5,1082.5,534.09,2431.2,2000.4,1981.0,2450.1
2016-02-03,2508.4,4068.8,4085.0,1688.9,939.97,1567.1,2116.7,796.95,3067.3,512.58,1962.2,745.9,2064.5,2227.9,380.87,382.68,3176.6,1562.8,1840.1,381.23,2449.4,1865.4,2214.0,3779.0,1037.6,538.65,2728.2,2059.6,2120.0,2207.9
2016-02-04,2658.4,3641.6,3942.6,1668.1,925.73,1598.5,2624.2,500.19,2798.4,529.09,2034.4,724.58,2055.7,2263.7,397.62,356.21,3059.8,1680.7,1868.8,370.35,2512.2,2017.6,2226.9,3730.9,926.35,567.68,2262.4,2025.6,2008.3,2385.7
2016-02-05,2874.3,3797.8,4275.9,1637.8,934.32,1516.9,2125.9,894.45,2965.8,523.94,1890.3,711.18,2059.1,2291.8,331.94,343.9,3051.0,1618.0,1522.8,369.9,2506.8,1644.5,2311.1,3611.7,1032.5,550.41,2354.7,1991.2,1970.8,2303.1
2016-02-06,2529.0,4007.2,4092.4,1632.8,946.49,1511.6,2214.7,440.11,2861.1,528.56,2013.6,727.26,2075.3,2291.8,372.4,290.67,2935.2,1532.0,1573.3,394.38,2249.5,1870.2,2375.1,3603.4,933.98,562.84,2481.3,1982.3,2159.0,2303.9
2016-02-07,2470.0,4194.7,4234.3,1615.9,934.97,1497.5,1959.9,798.35,3005.1,538.35,1815.8,790.58,2058.4,2181.2,409.41,350.04,3065.2,1566.9,1699.6,373.58,2269.7,2030.9,2498.1,3595.7,1028.6,562.08,2335.5,1999.7,2449.2,2181.0
2016-02-08,2630.4,4135.4,4108.4,1523.8,966.26,1365.8,2311.4,902.79,2769.9,514.24,1705.7,746.77,2239.8,2240.7,393.67,329.55,3102.6,1630.8,1624.4,359.67,2195.3,1928.7,2280.3,3489.5,1009.4,571.25,2551.2,1972.6,2563.8,2310.6
2016-02-09,2466.0,4238.6,4139.8,1552.5,909.56,1382.4,1696.0,793.97,3023.4,500.18,1659.4,706.77,2150.0,2237.0,403.38,351.76,2899.6,1562.8,1656.0,349.61,2335.5,1862.7,2177.0,3655.0,1051.5,551.51,2465.4,2081.4,2292.5,2566.6
2016-02-10,2510.8,3990.5,4181.9,1564.7,944.6,1325.9,1585.0,860.9,2957.6,491.84,2038.1,717.95,2072.1,2092.5,398.37,315.32,3043.0,1408.9,1824.4,356.88,2075.7,1835.1,2113.9,3420.2,1068.2,545.22,2421.0,2071.3,2231.8,2360.4
