city,date,hour,temperature_c,pressure_mm,is_rainy,condition
Kazan,2024-02-02,14,7,685,0,clear
Kazan,2024-02-02,15,7,685,0,clear
Kazan,2024-02-02,16,7,684,0,cloudy
Kazan,2024-02-02,17,6,684,0,clear
Kazan,2024-02-02,18,4,684,0,cloudy
Kazan,2024-02-02,19,2,682,0,cloudy
Kazan,2024-02-02,20,1,683,0,cloudy
Kazan,2024-02-02,21,0,685,0,cloudy
Kazan,2024-02-02,22,0,683,0,cloudy
Kazan,2024-02-02,23,0,684,0,cloudy
Kazan,2024-02-03,0,0,686,0,cloudy
Kazan,2024-02-03,1,0,684,0,cloudy
Kazan,2024-02-03,2,-1,684,0,cloudy
Kazan,2024-02-03,3,-1,685,0,cloudy
Kazan,2024-02-03,4,-2,683,0,cloudy
Kazan,2024-02-03,5,-2,684,0,cloudy
Kazan,2024-02-03,6,-2,686,0,cloudy
Kazan,2024-02-03,7,-2,684,0,cloudy
Kazan,2024-02-03,8,-2,684,0,cloudy
Kazan,2024-02-03,9,-1,687,0,cloudy
Kazan,2024-02-03,10,1,685,0,cloudy
Kazan,2024-02-03,11,3,685,0,cloudy
Kazan,2024-02-03,12,4,688,0,cloudy
Kazan,2024-02-03,13,5,686,0,cloudy
Kazan,2024-02-03,14,6,686,0,cloudy
Kazan,2024-02-03,15,6,687,0,cloudy
Kazan,2024-02-03,16,5,686,0,cloudy
Kazan,2024-02-03,17,4,686,0,cloudy
Kazan,2024-02-03,18,4,686,0,cloudy
Kazan,2024-02-03,19,1,685,0,cloudy
Kazan,2024-02-03,20,0,685,0,clear
Kazan,2024-02-03,21,0,686,0,clear
Kazan,2024-02-03,22,-1,684,0,clear
Kazan,2024-02-03,23,-1,684,0,clear
Kazan,2024-02-04,0,-2,686,0,clear
Kazan,2024-02-04,1,-2,683,0,clear
Kazan,2024-02-04,2,-2,684,0,clear
Kazan,2024-02-04,3,-3,686,0,cloudy
Kazan,2024-02-04,4,-3,684,0,cloudy
Kazan,2024-02-04,5,-3,684,0,cloudy
Kazan,2024-02-04,6,-3,686,0,cloudy
Kazan,2024-02-04,7,-3,684,0,cloudy
Kazan,2024-02-04,8,-2,684,0,cloudy
Kazan,2024-02-04,9,-2,687,0,cloudy
Kazan,2024-02-04,10,0,685,0,cloudy
Kazan,2024-02-04,11,1,685,0,cloudy
Kazan,2024-02-04,12,3,688,0,cloudy
Kazan,2024-02-04,13,4,686,0,cloudy
Kazan,2024-02-04,14,5,686,0,cloudy
Kazan,2024-02-04,15,6,684,0,cloudy
Saint Petersburg,2024-02-01,0,2,755,1,wet-snow
Saint Petersburg,2024-02-01,1,2,753,0,overcast
Saint Petersburg,2024-02-01,2,2,752,0,overcast
Saint Petersburg,2024-02-01,3,2,750,0,overcast
Saint Petersburg,2024-02-01,4,3,750,0,overcast
Saint Petersburg,2024-02-01,5,2,750,0,overcast
Saint Petersburg,2024-02-01,6,2,748,0,overcast
Saint Petersburg,2024-02-01,7,2,748,0,overcast
Saint Petersburg,2024-02-01,8,2,747,0,overcast
Saint Petersburg,2024-02-01,9,1,744,0,overcast
Saint Petersburg,2024-02-01,10,2,745,1,wet-snow
Saint Petersburg,2024-02-01,11,2,744,1,wet-snow
Saint Petersburg,2024-02-01,12,1,743,1,wet-snow
Saint Petersburg,2024-02-01,13,3,743,0,overcast
Saint Petersburg,2024-02-01,14,2,742,0,overcast
Saint Petersburg,2024-02-01,15,2,741,0,overcast
Saint Petersburg,2024-02-01,16,2,741,0,overcast
Saint Petersburg,2024-02-01,17,2,741,1,wet-snow
Saint Petersburg,2024-02-01,18,2,742,1,wet-snow
Saint Petersburg,2024-02-01,19,2,742,0,overcast
Saint Petersburg,2024-02-01,20,1,742,0,overcast
Saint Petersburg,2024-02-01,21,1,742,0,overcast
Saint Petersburg,2024-02-01,22,1,742,0,cloudy
Saint Petersburg,2024-02-01,23,0,743,1,wet-snow
Saint Petersburg,2024-02-02,0,0,743,1,wet-snow
Saint Petersburg,2024-02-02,1,0,743,0,overcast
Saint Petersburg,2024-02-02,2,-1,743,0,cloudy
Saint Petersburg,2024-02-02,3,-1,745,0,cloudy
Saint Petersburg,2024-02-02,4,-2,745,0,cloudy
Saint Petersburg,2024-02-02,5,-2,746,0,cloudy
Saint Petersburg,2024-02-02,6,-2,746,1,wet-snow
Saint Petersburg,2024-02-02,7,-2,746,1,wet-snow
Saint Petersburg,2024-02-02,8,-2,746,0,cloudy
Saint Petersburg,2024-02-02,9,-2,748,0,cloudy
Saint Petersburg,2024-02-02,10,-3,748,0,cloudy
Saint Petersburg,2024-02-02,11,-3,748,0,cloudy
Saint Petersburg,2024-02-02,12,-3,749,0,cloudy
Saint Petersburg,2024-02-02,13,-2,749,0,cloudy
Saint Petersburg,2024-02-02,14,-2,750,0,cloudy
Saint Petersburg,2024-02-02,15,-2,750,0,cloudy
Saint Petersburg,2024-02-02,16,-2,751,0,cloudy
Saint Petersburg,2024-02-02,17,-2,751,0,cloudy
Saint Petersburg,2024-02-02,18,-3,751,0,cloudy
Saint Petersburg,2024-02-02,19,-3,750,0,cloudy
Saint Petersburg,2024-02-02,20,-3,750,0,cloudy
Saint Petersburg,2024-02-02,21,-3,749,0,overcast
Saint Petersburg,2024-02-02,22,-3,749,0,cloudy
Saint Petersburg,2024-02-02,23,-3,748,0,cloudy
Saint Petersburg,2024-02-03,0,-3,747,0,cloudy
Saint Petersburg,2024-02-03,1,-3,746,0,overcast
Saint Petersburg,2024-02-03,2,-3,746,0,overcast
Saint Petersburg,2024-02-03,3,-2,745,0,overcast
Saint Petersburg,2024-02-03,4,-2,744,0,overcast
Saint Petersburg,2024-02-03,5,-2,742,1,wet-snow
Saint Petersburg,2024-02-03,6,-2,742,1,wet-snow
Saint Petersburg,2024-02-03,7,-2,742,1,wet-snow
Saint Petersburg,2024-02-03,8,-2,742,1,wet-snow
Saint Petersburg,2024-02-03,9,-2,740,1,wet-snow
Saint Petersburg,2024-02-03,10,-1,739,1,wet-snow
Saint Petersburg,2024-02-03,11,-1,739,1,snow
Saint Petersburg,2024-02-03,12,-1,739,1,snow
Saint Petersburg,2024-02-03,13,0,739,1,light-snow
Saint Petersburg,2024-02-03,14,0,739,0,overcast
Saint Petersburg,2024-02-03,15,0,738,1,wet-snow
Saint Petersburg,2024-02-03,16,1,738,0,overcast
Saint Petersburg,2024-02-03,17,1,738,0,overcast
Saint Petersburg,2024-02-03,18,1,738,0,overcast
Saint Petersburg,2024-02-03,19,1,738,0,overcast
Saint Petersburg,2024-02-03,20,1,738,0,overcast
Saint Petersburg,2024-02-03,21,1,738,0,overcast
Saint Petersburg,2024-02-03,22,1,739,0,cloudy
Saint Petersburg,2024-02-03,23,1,740,0,cloudy
Saint Petersburg,2024-02-04,0,0,740,0,cloudy
Saint Petersburg,2024-02-04,1,0,740,0,cloudy
Saint Petersburg,2024-02-04,2,0,740,0,cloudy
Saint Petersburg,2024-02-04,3,0,740,0,clear
Saint Petersburg,2024-02-04,4,0,740,0,cloudy
Saint Petersburg,2024-02-04,5,0,740,0,cloudy
Saint Petersburg,2024-02-04,6,-1,740,0,cloudy
Saint Petersburg,2024-02-04,7,-1,739,0,cloudy
Saint Petersburg,2024-02-04,8,-1,738,0,cloudy
Saint Petersburg,2024-02-04,9,-1,739,0,cloudy
Saint Petersburg,2024-02-04,10,0,738,0,cloudy
Saint Petersburg,2024-02-04,11,0,738,0,cloudy
Saint Petersburg,2024-02-04,12,0,738,0,overcast
Saint Petersburg,2024-02-04,13,1,737,0,overcast
Saint Petersburg,2024-02-04,14,1,737,0,overcast
Saint Petersburg,2024-02-04,15,1,736,0,overcast
Tula,2024-02-01,0,4,749,0,overcast
Tula,2024-02-01,1,4,752,0,overcast
Tula,2024-02-01,2,3,749,0,overcast
Tula,2024-02-01,3,3,750,0,overcast
Tula,2024-02-01,4,4,750,0,overcast
Tula,2024-02-01,5,6,750,0,overcast
Tula,2024-02-01,6,6,750,0,overcast
Tula,2024-02-01,7,7,749,0,overcast
Tula,2024-02-01,8,7,750,0,overcast
Tula,2024-02-01,9,7,750,0,overcast
Tula,2024-02-01,10,8,750,0,overcast
Tula,2024-02-01,11,8,750,0,overcast
Tula,2024-02-01,12,9,751,0,overcast
Tula,2024-02-01,13,9,750,0,overcast
Tula,2024-02-01,14,9,750,0,overcast
Tula,2024-02-01,15,10,749,1,light-rain
Tula,2024-02-01,16,10,750,0,overcast
Tula,2024-02-01,17,9,749,0,overcast
Tula,2024-02-01,18,9,749,0,overcast
Tula,2024-02-01,19,9,749,0,overcast
Tula,2024-02-01,20,9,749,0,overcast
Tula,2024-02-01,21,9,749,0,overcast
Tula,2024-02-01,22,9,749,0,overcast
Tula,2024-02-01,23,9,750,0,overcast
Tula,2024-02-02,0,9,750,0,overcast
Tula,2024-02-02,1,9,750,0,overcast
Tula,2024-02-02,2,8,750,0,overcast
Tula,2024-02-02,3,8,750,0,overcast
Tula,2024-02-02,4,8,749,0,overcast
Tula,2024-02-02,5,8,749,0,overcast
Tula,2024-02-02,6,7,749,0,overcast
Tula,2024-02-02,7,7,749,0,overcast
Tula,2024-02-02,8,6,750,0,overcast
Tula,2024-02-02,9,7,750,0,overcast
Tula,2024-02-02,10,8,750,0,overcast
Tula,2024-02-02,11,9,750,0,clear
Tula,2024-02-02,12,11,750,0,clear
Tula,2024-02-02,13,12,749,0,clear
Tula,2024-02-02,14,13,749,0,clear
Tula,2024-02-02,15,14,749,0,clear
Tula,2024-02-02,16,14,749,0,clear
Tula,2024-02-02,17,12,749,0,clear
Tula,2024-02-02,18,10,749,0,clear
Tula,2024-02-02,19,8,749,0,clear
Tula,2024-02-02,20,6,749,0,clear
Tula,2024-02-02,21,4,749,0,clear
Tula,2024-02-02,22,4,749,0,clear
Tula,2024-02-02,23,3,749,0,clear
Tula,2024-02-03,0,2,749,0,clear
Tula,2024-02-03,1,2,749,0,clear
Tula,2024-02-03,2,2,749,0,clear
Tula,2024-02-03,3,1,748,0,clear
Tula,2024-02-03,4,1,748,0,clear
Tula,2024-02-03,5,0,748,0,clear
Tula,2024-02-03,6,0,748,0,clear
Tula,2024-02-03,7,-1,747,0,clear
Tula,2024-02-03,8,-1,747,0,clear
Tula,2024-02-03,9,1,747,0,clear
Tula,2024-02-03,10,3,748,0,clear
Tula,2024-02-03,11,7,748,0,clear
Tula,2024-02-03,12,10,748,0,clear
Tula,2024-02-03,13,13,748,0,clear
Tula,2024-02-03,14,15,748,0,clear
Tula,2024-02-03,15,16,747,0,clear
Tula,2024-02-03,16,16,747,0,clear
Tula,2024-02-03,17,14,747,0,clear
Tula,2024-02-03,18,10,747,0,clear
Tula,2024-02-03,19,8,748,0,clear
Tula,2024-02-03,20,6,747,0,clear
Tula,2024-02-03,21,5,747,0,clear
Tula,2024-02-03,22,4,747,0,clear
Tula,2024-02-03,23,4,747,0,clear
Tula,2024-02-04,0,3,747,0,clear
Tula,2024-02-04,1,2,747,0,clear
Tula,2024-02-04,2,1,747,0,clear
Tula,2024-02-04,3,1,747,0,clear
Tula,2024-02-04,4,1,747,0,clear
Tula,2024-02-04,5,0,747,0,clear
Tula,2024-02-04,6,0,747,0,clear
